Date,Open,High,Low,Close,Adj Close,Volume (in Exp),day ,month,year,Volume
06-01-2005,4.881882191,4.902401924,4.697698116,4.718468189,4.701425076,415068516,6,1,2005,415068516
07-01-2005,4.770771027,4.861111164,4.724224091,4.851100922,4.833579063,386129484,7,1,2005,386129484
10-01-2005,4.867366791,4.957457066,4.800550938,4.881381035,4.863749504,301282416,10,1,2005,301282416
11-01-2005,4.895394802,4.947698116,4.834333897,4.843342781,4.825848579,278069652,11,1,2005,278069652
12-01-2005,4.863112926,4.903152943,4.767267227,4.889389038,4.871728897,326784888,12,1,2005,326784888
13-01-2005,4.889389038,4.939690113,4.856105804,4.888137817,4.870481968,273702024,13,1,2005,273702024
14-01-2005,4.904904842,5.005255222,4.858108044,5.004253864,4.986178398,385226388,14,1,2005,385226388
18-01-2005,5.029279232,5.13063097,4.971470833,5.102602959,5.084172726,526377096,18,1,2005,526377096
19-01-2005,5.121370792,5.137638092,4.922673225,4.937437057,4.919602871,449857692,19,1,2005,449857692
20-01-2005,4.817317009,4.911160946,4.804804802,4.852852821,4.835324287,359703936,20,1,2005,359703936
21-01-2005,4.868368149,4.888888836,4.707707882,4.711711884,4.694693089,369965664,21,1,2005,369965664
24-01-2005,4.721971989,4.737987995,4.512513161,4.522522926,4.506187916,560347092,24,1,2005,560347092
25-01-2005,4.553052902,4.56056118,4.411662102,4.432432175,4.416422367,425941632,25,1,2005,425941632
26-01-2005,4.486236095,4.739990234,4.483232975,4.735735893,4.718630791,491823684,26,1,2005,491823684
27-01-2005,4.723723888,4.726225853,4.634634972,4.706707001,4.689705849,264830904,27,1,2005,264830904
28-01-2005,4.755255222,4.87237215,4.663163185,4.763263226,4.746058941,487839672,28,1,2005,487839672
31-01-2005,4.84709692,4.913914204,4.797798157,4.895394802,4.87771225,383484132,31,1,2005,383484132
01-02-2005,4.864364147,4.921421051,4.770521164,4.802301884,4.784955978,752806440,1,2,2005,752806440
02-02-2005,5.394144058,5.425425053,5.096597195,5.154153824,5.135537148,1310660028,2,2,2005,1310660028
03-02-2005,5.154904842,5.339590073,5.150400162,5.276776791,5.257717133,519004476,3,2,2005,519004476
04-02-2005,5.166916847,5.19894886,5.07006979,5.114113808,5.095641613,592179228,4,2,2005,592179228
07-02-2005,5.136637211,5.165164948,4.892642975,4.905655861,4.887937069,517897584,7,2,2005,517897584
08-02-2005,4.928928852,5.005506039,4.868117809,4.970971107,4.953016281,458740800,8,2,2005,458740800
09-02-2005,5.02402401,5.045044899,4.741240978,4.79429388,4.776977062,686173140,9,2,2005,686173140
10-02-2005,4.804053783,4.810060024,4.635886192,4.704204082,4.68721199,758548692,10,2,2005,758548692
11-02-2005,4.671171188,4.812812805,4.656405926,4.689690113,4.67275095,524115360,11,2,2005,524115360
14-02-2005,4.575826168,4.831831932,4.529530048,4.82957983,4.81213522,1540945512,14,2,2005,1540945512
15-02-2005,4.844844818,5.001000881,4.831831932,4.885635853,4.867989063,1030280688,15,2,2005,1030280688
16-02-2005,4.87237215,4.988237858,4.862361908,4.965215206,4.947281361,660630708,16,2,2005,660630708
17-02-2005,4.950701237,4.998748779,4.92517519,4.952452183,4.934563637,416159424,17,2,2005,416159424
18-02-2005,4.967718124,4.97597599,4.921421051,4.95370388,4.935811043,339096564,18,2,2005,339096564
22-02-2005,4.917417049,4.977477074,4.764514923,4.789039135,4.77174139,538808652,22,2,2005,538808652
23-02-2005,4.837337017,4.866867065,4.72122097,4.85360384,4.836072922,622816560,23,2,2005,622816560
24-02-2005,4.588839054,4.751000881,4.560309887,4.726976871,4.70990324,1031539428,24,2,2005,1031539428
25-02-2005,4.733482838,4.752752781,4.642392159,4.651401043,4.634600163,398541060,25,2,2005,398541060
28-02-2005,4.65465498,4.751502037,4.650900841,4.704453945,4.687461853,312423264,28,2,2005,312423264
01-03-2005,4.736987114,4.748497963,4.554554939,4.656156063,4.639338493,372075552,1,3,2005,372075552
02-03-2005,4.653402805,4.696445942,4.613614082,4.634133816,4.617395878,291128580,2,3,2005,291128580
03-03-2005,4.657907963,4.698448181,4.612361908,4.67993021,4.66302681,304039656,3,3,2005,304039656
04-03-2005,4.67217207,4.685935974,4.631381035,4.652152061,4.63534832,270693036,4,3,2005,270693036
07-03-2005,4.6991992,4.744744778,4.680429935,4.724975109,4.707909107,346349304,7,3,2005,346349304
08-03-2005,4.732232094,4.751000881,4.62887907,4.634634972,4.61789465,321522156,8,3,2005,321522156
09-03-2005,4.609859943,4.620871067,4.508509159,4.538288116,4.521895885,453961584,9,3,2005,453961584
